"年齢","就学パターン","","費用合計(円)"
"0","乳幼児","０歳児","1196569"
"1","乳幼児","１歳児","358498"
"2","乳幼児","２歳児","373759"
"3","乳幼児","３歳児","490680"
"4","幼稚園／私立","４歳児","769470"
"5","幼稚園／私立","５歳児","674411"
"6","小学校／公立","１年生","716102"
"7","小学校／公立","２年生","613376"
"8","小学校／公立","３年生","629659"
"9","小学校／公立","４年生","629195"
"10","小学校／公立","５年生","675153"
"11","小学校／公立","６年生","748402"
"12","中学校／公立","１年生","831863"
"13","中学校／公立","２年生","777958"
"14","中学校／公立","３年生","856665"
"15","高校／公立","１年生","1072281"
"16","高校／公立","２年生","970834"
"17","高校／公立","３年生","986685"
"18","大学／私立","１年生","36793112"
"19","大学／私立","２年生","2412885"
"20","大学／私立","３年生","2372637"
"21","大学／私立","４年生","2375549"
"合計","","","24211941"
