"","20歳未満(％)","20～25歳(％)","26～30歳(％)","31～35歳(％)","36～40歳(％)","41～45歳(％)","46～50歳(％)","51歳以上(％)"
"母親／H20","0.3","11.1","16","25.4","23.8","14.5","7","1.8"
"母親／H25","0.7","12.9","18.2","19.7","21.5","17.7","7","2.3"
