"","まったくしない(％)","３０分より少ない(％)","３０分以上、１時間より少ない(％)","１時間以上、２時間より少ない(％)","２時間以上、３時間より少ない(％)","３時間以上(％)","中卒後進学しなかった(％)","無回答(％)"
"２室","37.8","9.3","21.0","18.9","6.9","5.3","","0.9"
"３室","29.4","12.6","19.3","20.7","11.3","4.2","0.2","2.3"
"４室","22.2","10.5","21.9","25.1","12.9","5.3","0.7","1.4"
"５室","19.5","12.8","25.7","23.1","12.7","5.1","0.2","0.9"
"６室以上","22.3","10.7","25.9","24.8","10.6","5.4","0.3",""
