"","コンサートや映画、スポーツなどの鑑賞、見物","レジャー活動","学習活動","趣味の活動（スポーツ、文化的）","ボランティア活動やNPO活動","自助グループなどの活動","参加できる活動場所がない","活動をしたいと思うことができない","活動したいと思わない","その他","無回答"
"25年度（537人）(%)","38","15.5","13","30.4","4.5","3.5","5","26.3","16.2","5.6","3.4"
"20年度（529人）(%)","34.4","12.3","11.2","25.1","6.4","2.6","1.9","22.7","20","3.4","5.5"
