"年度","20歳未満(％)","20～24歳(％)","25～29歳(％)","30～34歳(％)","35～39歳(％)","40～44歳(％)","45～49歳(％)","50歳以上(％)"
"16","0.6","6.0","15.1","28.3","23.5","15.7","7.2","3.5"
"20","0.3","11.1","16.0","25.4","23.8","14.5","7.0","1.8"
