"","困窮層(％)","周辺層(％)","一般層(％)"
"子育て短期支援事業（X）","5.6","3.8","2.9"
"ファミリー・サポート・センター（**）","6.5","2.1","2.8"
"子ども食堂（***）","15.9","10.0","4.6"
"フードバンクによる食料支援（***）","11.6","8.0","3.7"
"居場所事業（X）","34.1","30.7","32.4"
"学校が実施する補講（**）","48.1","41.8","38.2"
"学校以外が実施する学習支援（***）","55.5","41.4","34.2"
