"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"小学5年生","17.7","23.7","18.3","38.5","1.8"
"中学2年生","26.8","26.6","11.7","33.7","1.2"
"16-17歳","34.4","24.2","6.0","33.1","2.2"
