"","電話(％)","電気(％)","ガス(％)","家賃(％)"
"ふたり親","2.9","3.1","3.7","1.9"
"ひとり親","16.1","9.2","9.7","9.4"
"三世代","2.1","1.9","1.4","1.0"
"ひとり暮らし","2.3","1.3","1.3","1.4"
