"年代","男性／総数","男性／20歳代","男性／30歳代","男性／40歳代","男性／50歳代","男性／60歳代","男性／70歳以上","男性／再掲20-64歳","男性／再掲65-74歳","女性／総数","女性／20歳代","女性／30歳代","女性／40歳代","女性／50歳代","女性／60歳代","女性／70歳以上","女性／再掲20-64歳","女性／再掲65-74歳"
"(人数)","(150)","(15)","(16)","(23)","(27)","(30)","(39)","","","(172)","(9)","(13)","(46)","(30)","(36)","(38)","",""
"(人)","64","7","7","9","14","14","13","","","69","6","7","20","13","14","9","",""
"(%)","42.7","46.7","43.8","39.1","51.9","46.7","33.3","47.3","42.9","40.1","66.7","53.8","43.5","43.3","38.9","23.7","44.3","38.2"
