"住居形態(世帯数*)","一世帯当たりの飼育頭数","飼育世帯数の割合(%)","推定個体数(万頭)"
"一戸建て(1783539世帯)","1.75","13.8","42.9"
"集合住宅(3286288世帯)","1.71","10.7","59.9"
"その他(129996世帯)","2.00","9.4","2.4"
"","","推定頭数","105.2"
