"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","2.4","1.7","0.3","0.5","0.7","1.2","2","3","4.4","5.5","9"
"1～2歳","4","1.4","1.7","0.3","0.3","0.3","0.4","0.7","1.6","3","3.4","3.8"
"3～5歳","5","1","0.5","0.4","0.5","0.5","0.7","1","1.1","1.5","1.7","1.8"
"6～7歳","6","1.2","0.3","1","1","1","1","1.1","1.2","1.5","1.6","1.7"
"8～9歳","3","1.1","0.4","0.7","0.7","0.7","0.9","1.1","1.3","1.4","1.4","1.4"
"10～11歳","5","1.3","1.4","0.5","0.5","0.5","0.7","0.7","1.2","2.7","3.2","3.6"
"12～14歳","8","2.2","1.4","0.5","0.6","0.6","0.7","2.5","3.4","3.6","3.7","3.8"
"15～17歳","6","1.7","0.8","0.4","0.6","0.7","1.3","2","2.2","2.4","2.5","2.6"
"18～29歳","20","2.2","1.2","0.8","0.8","0.8","1.3","2","3","3.4","4.4","5.1"
"30～49歳","42","2.2","1.5","0.4","0.7","0.7","1","1.9","2.5","3.8","4.3","6.8"
"50～69歳","60","2.8","2","0.3","0.6","0.9","1.5","2.4","3.7","5.4","7","9"
"70歳以上","46","2.8","1.8","0.2","0.8","1.2","1.5","2.5","3.5","5.2","5.6","8.6"
"女性総数","228","2","1.3","0.2","0.4","0.6","1.1","1.7","2.6","3.7","4.4","6.1"
"1～2歳","3","0.9","0.3","0.6","0.6","0.7","0.7","0.8","1","1.2","1.2","1.2"
"3～5歳","2","1.6","1.1","0.8","0.9","1","1.2","1.6","2","2.2","2.3","2.3"
"6～7歳","6","1","0.6","0.5","0.5","0.5","0.6","0.7","1.4","1.7","1.8","1.8"
"8～9歳","4","0.9","0.7","0.2","0.2","0.3","0.4","0.9","1.4","1.5","1.5","1.5"
"10～11歳","1","1.5","0","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"12～14歳","8","1.6","0.7","0.8","0.8","0.9","1.2","1.6","1.9","2.3","2.6","2.9"
"15～17歳","7","2.3","1.3","0.6","0.7","0.9","1.4","1.9","3.4","3.7","3.8","3.9"
"18～29歳","17","1.7","0.9","0.5","0.6","0.7","1.1","1.4","2.5","3","3.1","3.2"
"30～49歳","60","2","1.3","0.3","0.4","0.5","1.1","1.5","2.9","3.8","4.2","5.4"
"50～69歳","71","2.2","1.5","0.3","0.5","0.6","1.2","2","2.7","4.1","5.2","7.1"
"70歳以上","49","2","1.2","0.2","0.4","0.6","1.1","1.9","2.4","3.8","4.6","4.9"
"(再掲)妊婦","1","4.1","0","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1"
"授乳婦","1","1.4","0","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4"
