"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","31.6","17","4.6","9.2","13.7","19.6","28.1","41.8","53.2","63.6","80"
"1～2歳","4","28.3","14.1","11.5","12.9","14.6","19.6","30.7","39.4","40.2","40.5","40.7"
"3～5歳","5","20.4","7.7","12.2","12.7","13.4","15.3","17.6","28.4","28.6","28.6","28.7"
"6～7歳","6","27.6","21.6","13.7","14","14.3","15.6","18.4","27.7","50.2","60.1","68"
"8～9歳","3","26","11.3","16.6","17.1","17.7","19.7","22.9","30.7","35.4","37","38.2"
"10～11歳","5","34.2","11","23.4","23.9","24.5","26.5","30.9","39.8","46.1","48.3","50"
"12～14歳","8","44.8","24.5","22.2","22.3","22.5","24","37.7","59.7","75.3","81.2","85.9"
"15～17歳","6","52.8","20.1","22.4","26.7","32","45.3","53.2","62.8","73.1","76.6","79.4"
"18～29歳","20","37.6","23.3","4.5","11.3","15.3","19.9","33.8","51.3","57.2","67.2","95.1"
"30～49歳","42","30.6","15.5","5.9","12.1","14.8","21.2","25.4","39.9","52.1","59.3","67.9"
"50～69歳","60","31.1","14.7","6.3","8.9","13.6","20.7","29.2","41.9","47.4","52.7","71.8"
"70歳以上","46","27.6","14.5","3.8","6.4","11.3","15.7","28","35.6","44.9","52.3","63.6"
"女性総数","228","28.2","15.2","2.9","8","11.5","17.7","25.4","37.3","45.2","53.3","76.9"
"1～2歳","3","27.6","10.7","15.6","17","18.8","24","32.7","33.7","34.4","34.6","34.7"
"3～5歳","2","18.5","1.3","17.6","17.6","17.7","18","18.5","18.9","19.2","19.3","19.4"
"6～7歳","6","31","13.1","19.4","19.6","20","22.3","27.9","33.5","45.1","50","54"
"8～9歳","4","23.9","11.2","14","14.7","15.6","18.2","21.1","26.8","34.6","37.3","39.4"
"10～11歳","1","41.1","0","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1"
"12～14歳","8","30.6","9.1","21.1","21.4","21.8","23.6","28.8","35.8","42.2","43.6","44.8"
"15～17歳","7","33.7","21","15.5","16.5","17.7","19.6","21","43.8","56.1","64.4","71.1"
"18～29歳","17","34.8","25.8","3.9","8.2","12.3","19.3","27.1","41.2","60.6","84","102"
"30～49歳","60","29.1","13.2","5.6","8.1","11.3","19.3","30.6","39","43.5","48.2","60.2"
"50～69歳","71","29.9","15.1","5.9","11","13","18","28.4","37.7","49.3","55.1","70.9"
"70歳以上","49","21.3","12.2","0.4","4.7","7.4","12.9","19.9","27.7","38","44.2","51.8"
"(再掲)妊婦","1","39.3","0","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3"
"授乳婦","1","35.4","0","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4"
