"","父子家庭(3892)(%)","母子世帯(総数4796)(%)"
"駅などの授乳コーナーやベビールーム","4.0","17.2"
"オムツ替えの場所がある公衆トイレ","12.0","18.1"
"駅などのバリアフリー","13.3","27.4"
"両親が参加できる子育て学級","9.3","2.9"
"気軽に相談できるところ","25.3","27.4"
"就学後の子どもを預かってくれるところ","13.3","40.2"
"子どもを安心して遊ばせられる公園","42.7","47.4"
"防音設備のある児童館","6.7","4.3"
"中学生が集まれる場所","14.7","19.5"
"その他","5.3","5.9"
"特にない","28.0","11.4"
