"","男性(%)","女性(%)"
"運動が行える公園","91.1","88.0"
"安全な歩道や自転車道など","74.9","74.7"
"海岸、河原、山など","16.8","17.1"
"体育館","56.0","58.3"
"プール","51.3","54.2"
"グランド、テニスコート、野球場など,"60.4","61.3"
スポーツジム、フィットネスクラブ","67.0","65.3"
"地域センター、公民館など","71.7","75.1"
