"食品群別","摂取量(g)","エネルギー(kcal)","たんぱく質(g)","脂質(g)","炭水化物(g)","食塩相当量(g)","カリウム(mg)","カルシウム(mg)","鉄(mg)","ビタミンA(ugRE)","ビタミンB1(mg)","ビタミンB2(mg)","ナイアシン(mgNE)","ビタミンＣ(mg)","食物繊維／総量(g)","食物繊維／水溶性(g)","食物繊維／不溶性(g)","コレステロール(mg)","マグネシウム(mg)","リン(mg)","銅(mg)"
"バター","1.50","11","0.00","1.20","0.00","0.00","0","0","0.00","8","0.00","0.00","0.00","0","0.00","0.00","0.00","3","0","0","0.00"
"マーガリン","1.20","8","0.00","0.80","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"植物性油脂","9.10","84","0.00","9.10","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"動物性油脂","0.20","2","0.00","0.20","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"その他の油脂","0.10","1","0.00","0.10","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"菓子類","27.90","85","1.60","2.60","13.70","0.10","41","12","0.20","11","0.02","0.03","0.20","0","0.40","0.10","0.30","14","5","23","0.03"
"和菓子類","11.70","34","0.70","0.30","7.20","0.10","14","2","0.10","1","0.01","0.01","0.10","0","0.20","0.00","0.20","2","2","9","0.02"
"ケーキ･ペストリー類","6.10","21","0.40","1.10","2.50","0.00","6","3","0.00","5","0.00","0.01","0.00","0","0.10","0.00","0.00","8","1","6","0.00"
"ビスケット類","2.00","10","0.10","0.50","1.40","0.00","2","2","0.00","2","0.00","0.00","0.00","0","0.00","0.00","0.00","1","0","2","0.00"
"キャンデー類","0.60","2","0.00","0.00","0.50","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"その他の菓子類","7.50","17","0.30","0.80","2.00","0.00","18","6","0.10","3","0.01","0.01","0.00","0","0.10","0.00","0.10","3","2","7","0.01"
"嗜好飲料類","824.40","97","0.80","0.00","8.30","0.10","165","17","0.30","0","0.00","0.10","1.70","8","0.00","0.00","0.00","0","16","25","0.02"
"アルコール飲料","121.30","73","0.20","0.00","3.30","0.00","22","3","0.00","0","0.00","0.01","0.30","0","0.00","0.00","0.00","0","4","9","0.00"
"日本酒","11.50","12","0.00","0.00","0.60","0.00","1","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","1","0.00"
"ビール","65.50","26","0.10","0.00","2.00","0.00","15","2","0.00","0","0.00","0.01","0.30","0","0.00","0.00","0.00","0","3","7","0.00"
"洋酒･その他","44.30","35","0.00","0.00","0.70","0.00","6","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","1","1","0.00"
"その他の嗜好飲料","703.10","23","0.60","0.00","5.00","0.00","143","13","0.30","0","0.00","0.09","1.40","8","0.00","0.00","0.00","0","12","16","0.02"
"茶","217.90","3","0.30","0.00","0.40","0.00","48","5","0.30","0","0.00","0.08","0.40","8","0.00","0.00","0.00","0","3","4","0.02"
"コーヒー､ココア","135.70","8","0.30","0.00","1.50","0.00","82","4","0.00","0","0.00","0.01","1.00","0","0.00","0.00","0.00","0","8","10","0.00"
"その他の嗜好飲料","349.50","12","0.00","0.00","3.20","0.00","13","4","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","3","0.00"
"調味料･香辛料類","92.80","101","3.60","4.90","10.10","6.30","165","24","0.80","6","0.04","0.08","0.90","0","0.70","0.10","0.50","5","22","66","0.05"
"調味料","92.40","100","3.50","4.90","9.90","6.30","164","24","0.80","6","0.04","0.08","0.90","0","0.70","0.10","0.50","5","22","65","0.05"
"ソース","1.70","2","0.00","0.00","0.50","0.10","3","1","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"しようゆ","11.30","8","0.90","0.00","1.10","1.60","43","3","0.20","0","0.01","0.02","0.10","0","0.00","0.00","0.00","0","7","18","0.00"
"塩","1.50","0","0.00","0.00","0.00","1.50","2","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"マヨネーズ","2.80","18","0.10","1.90","0.10","0.10","1","1","0.00","1","0.00","0.00","0.00","0","0.00","0.00","0.00","4","1","2","0.00"
"味噌","9.30","17","1.10","0.50","2.00","1.10","36","8","0.30","0","0.00","0.01","0.10","0","0.40","0.10","0.40","0","6","15","0.03"
"その他の調味料","65.90","55","1.40","2.50","6.30","2.00","79","11","0.30","4","0.03","0.05","0.60","0","0.20","0.10","0.20","1","7","29","0.02"
"香辛料･その他","0.40","1","0.10","0.00","0.10","0.00","2","1","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","1","0.00"
"栄養素調整調味料類およびその他の加工食品等","","","","","","","","","","","","","","","","","","","","",""
