"","施設総数","１置いてある／施設数","１置いてある／割合","２置いていない／施設数","２置いていない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1497","1407","94.0","70","4.7","20","1.3"
"認証保育所＊","471","427","90.7","34","7.2","10","2.1"
"認定こども園＊","85","81","95.3","3","3.5","1","1.2"
"幼稚園＊","562","513","91.3","43","7.7","6","1.1"
"ベビーホテル","279","251","90.0","22","7.9","6","2.2"
"家庭的保育","303","260","85.8","41","13.5","2","0.7"
"学童保育","1051","989","94.1","45","4.3","17","1.6"
"上記以外の施設","321","291","90.7","25","7.8","5","1.6"
"総数","4569","4219","92.3","283","6.2","67","1.5"
"＊前回調査施設 (再掲）","2615","2428","92.8","150","5.7","37","1.4" 
