"","H24年度末","H25年度末","H26年度末","H27年度末","H28年度末"
"合計","8775","8716","8694","8693","8725"
"４０歳以上","6574","6707","6864","6967","7091"
"４０歳未満","2201","2009","1830","1726","1634"
"４０歳以上の利用者の全体に占める割合(%)","74.9","","","","81.3"
