"","１本(％)","２本(％)","３本(％)","４本以上(％)","無回答(％)"
"困窮層","6.5","8.2","2.8","3.8","5.8"
"周辺層","6.3","3.7","2.7","4.4","2.7"
"一般層","5.5","3.4","1.6","2.0","1.6"
