"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"話し合ったことあり","119","39.4","195","61.9"
"していない","80","26.5","50","15.9"
"よくわからない","97","32.1","64","20.3"
"無記入","6","2.0","6","1.9"
"合計","302","100.0","315","100.0"
