"","１００万未満(%)","１００～２００万未満(%)","２００～３００万未満(%)","３００～４００万未満(%)","４００万以上(%)","サンプル数","平均"
"TOTAL","14.4","13.5","22.2","32.6","17.3","1066","255.8"
"正規職員雇用のみ希望者","7.0","","26.8","39.7","25.3","388","307.3"
"パート・非常勤雇用のみ希望者","29.6","37.3","16.9","11.5","4.8","314","154.9"
"正規職員またはパート・非常勤雇用希望者","10.7","10.7","28.2","37.9","12.6","103","259.2"
