"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","1.17","0.55","0.32","0.45","0.59","0.85","1.1","1.41","1.8","2.08","2.46"
"1～2歳","4","0.92","0.56","0.2","0.29","0.41","0.75","0.98","1.14","1.38","1.46","1.52"
"3～5歳","5","0.69","0.11","0.59","0.6","0.61","0.65","0.66","0.67","0.8","0.84","0.87"
"6～7歳","6","1.12","0.5","0.68","0.7","0.72","0.83","1.04","1.11","1.6","1.84","2.03"
"8～9歳","3","1.33","0.38","1.02","1.04","1.06","1.12","1.23","1.49","1.64","1.7","1.74"
"10～11歳","5","1.53","0.49","1.04","1.05","1.05","1.07","1.55","1.79","2.04","2.12","2.18"
"12～14歳","8","1.21","0.51","0.52","0.6","0.7","0.89","1.14","1.54","1.82","1.9","1.97"
"15～17歳","6","1.31","0.39","0.78","0.82","0.88","1.07","1.34","1.56","1.72","1.76","1.79"
"18～29歳","20","1.26","0.52","0.68","0.7","0.83","0.86","1.07","1.52","1.91","2.37","2.39"
"30～49歳","42","1.02","0.39","0.34","0.4","0.45","0.74","1.03","1.24","1.45","1.71","1.86"
"50～69歳","60","1.25","0.75","0.44","0.5","0.6","0.8","1.12","1.39","2.11","2.39","3.92"
"70歳以上","46","1.17","0.41","0.28","0.38","0.68","0.95","1.16","1.44","1.68","1.74","2"
"女性総数","228","1.11","0.44","0.33","0.49","0.56","0.8","1.05","1.35","1.7","1.86","2.33"
"1～2歳","3","1","0.21","0.82","0.83","0.84","0.89","0.97","1.1","1.18","1.2","1.22"
"3～5歳","2","0.95","0.12","0.87","0.88","0.89","0.91","0.95","1","1.02","1.03","1.04"
"6～7歳","6","0.85","0.21","0.57","0.62","0.68","0.79","0.83","0.9","1.06","1.13","1.19"
"8～9歳","4","1.03","0.29","0.66","0.7","0.76","0.94","1.07","1.16","1.26","1.3","1.32"
"10～11歳","1","1.42","0","1.42","1.42","1.42","1.42","1.42","1.42","1.42","1.42","1.42"
"12～14歳","8","1.1","0.26","0.78","0.82","0.87","0.95","1","1.26","1.43","1.49","1.54"
"15～17歳","7","0.94","0.32","0.53","0.56","0.59","0.72","1.01","1.07","1.26","1.36","1.45"
"18～29歳","17","1.09","0.46","0.38","0.49","0.54","0.83","1.03","1.28","1.63","1.78","2.1"
"30～49歳","60","1.06","0.38","0.4","0.47","0.61","0.79","1.03","1.29","1.5","1.61","2.05"
"50～69歳","71","1.21","0.47","0.31","0.52","0.6","0.95","1.2","1.47","1.75","2.02","2.38"
"70歳以上","49","1.09","0.51","0.26","0.44","0.5","0.72","1.03","1.41","1.73","1.83","2.37"
"(再掲)妊婦","1","1.47","0","1.47","1.47","1.47","1.47","1.47","1.47","1.47","1.47","1.47"
"授乳婦","1","1.19","0","1.19","1.19","1.19","1.19","1.19","1.19","1.19","1.19","1.19"
