"年次／月","検案／22年","検案／23年","検案／24年","検案／25年","検案／26年","解剖／22年","解剖／23年","解剖／24年","解剖／25年","解剖／26年"
"1月(人)","1473(42)","1693(69)","1614(59)","1710","1496","308","324","290","299","257"
"2月(人)","1300(57)","1269(47)","1451(65)","1313","1307","279","281","280","201","233"
"3月(人)","1265(49)","1281(65)","1332(41)","1175","1239","272","249","262","207","197"
"4月(人)","1116(40)","1084(32)","1105","1012","1082","221","197","191","166","185"
"5月(人)","1011(22)","1076(39)","1068","1024","1009","210","208","149","183","171"
"6月(人)","980(32)","1040(47)","913","877","888","189","166","151","179","132"
"7月(人)","1430(67)","1075(38)","952","1168","950","279","186","174","181","156"
"8月(人)","1227(61)","1152(68)","1028","1150","989","232","220","175","169","173"
"9月(人)","966(31)","912(28)","894","866","842","198","149","159","117","122"
"10月(人)","1003(32)","961(33)","991","934","973","206","186","161","175","144"
"11月(人)","1235(43)","1052(23)","1168","1092","1060","243","195","192","197","183"
"12月(人)","1390(42)","1402(67)","1433","1272","1466","298","263","267","264","272"
"計(人)","14396(518)","13997(556)","13949(165)","13593","13301","2935","2624","2451","2338","2225"
"男(人)","8991","8889","8715","8638","8486","2037","1810","1695","1604","1571"
"女(人)","5405","5105","5232","4955","4813","898","814","756","734","654"
"不詳","","不詳3","不詳2","","不詳2","","","","",""
"月平均(人)","1200","1166","1162","1133","1108","245","219","204","195","185"
"前年度比(%)","11.23","-2.77","-0.34","-2.55","-2.15","8.7","-1.06","-6.59","-4.61","-4.83"
"指数(%)","100","97.2","96.9","94.4","92.4","100","89.4","83.5","79.7","75.8"
"解剖率(%)","","","","","","20.4","18.7","17.6","17.2","16.7"
"区分(年度)","22","23","24","25","26","22","23","24","25","26"
"計(人)","14601","14151","13750","13438","13548","2930","2602","2326","2318","2326"
"月平均(人)","1217","1179","1146","1120","1129","244","217","194","193","194"
"前年度比(%)","10.91","-3.08","-2.83","-2.27","-0.83","4.79","-11.19","-10.61","-0.34","0.35"
"指数(%)","100","96.9","94.2","92","92.8","100","88.8","79.4","79.1","79.3"
"解剖率(%)","","","","","","20.1","18.4","16.9","17.2","17.2"
