"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","24.4","7.6","48.1","16.6","3.3",""
"周辺層","39.2","10.1","39.7","9.3","1.1","0.7"
"一般層","44.0","8.3","42.1","5.1","0.2","0.4"
