"","昭和35年","昭和40年","昭和45年","昭和50年","昭和55年","昭和60年","平成2年","平成7年","平成17年","平成20年"
"東京都(左目盛)(人)","","","","","","","","","96542","106015"
"全国(右目盛)(人)","","","","","","","","","1062530","1091150"
