"","H20.5-H21.4／n=44567(%)","H21.5-H22.4／n=27502(%)","H22.5-H23.4／n=37949(%)","H23.5-H24.4／n=36130(%)"
"利用している","11.0","9.6","9.4","7.5"
"知っているが利用ていない","46.6","47.1","48.2","47.1"
"知らない","42.4","43.3","42.4","45.3"
