"","総数(%)","20~24歳(%)","25~29歳(%)","30~34歳(%)","35~39歳(%)","40~44歳(%)","45~49歳(%)"
"全国","47.9","67.1","68.7","56.8","61.1","69.4","71.5"
"東京","49.9","63.4","72.3","61.0","59.0","64.3","68.3"
"神奈川","45.7","63.1","69.0","51.6","49.3","59.5","65.4"
