"(単位：千円、%)","計画値","実績","実績/計画"
"千代田区","3632525","3430052","94.43"
"中央区","7249957","6747926","93.08"
"港区","14016765","13410112","95.67"
"新宿区","21025501","19724760","93.81"
"文京区","13041671","12843176","98.48"
"台東区","13260345","13146662","99.14"
"墨田区","17075252","17011998","99.63"
"江東区","27062647","25845712","95.50"
"品川区","21022976","20245306","96.30"
"目黒区","17273661","16795557","97.23"
"大田区","46221866","44753306","96.82"
"世田谷区","55976691","54189446","96.81"
"渋谷区","12478376","12110688","97.05"
"中野区","20738298","19521909","94.13"
"杉並区","34878307","34044193","97.61"
"豊島区","17930390","16932751","94.44"
"北区","24989063","24267634","97.11"
"荒川区","14372140","13728209","95.52"
"板橋区","34279610","33354105","97.30"
"練馬区","45944989","45038641","98.03"
"足立区","47857014","46522934","97.21"
"葛飾区","32694907","31132101","95.22"
"江戸川区","34216025","33003190","96.46"
