"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"","公営計","","","","210674865","65.90","660039","0.21","106027220","33.17","2303672","0.72","319665796","23308654","11842","428057","54649148","-4531511","236736584"
"","特別区計","","","","165169973","66.89","","","81758665","33.11","","","246928638","17588766","7324","346480","46613465","-3830905","178541698"
"","市町村計","","","","45504892","62.56","660039","0.91","24268555","33.36","2303672","3.17","72737158","5719888","4518","81577","8035683","-700606","58194886"
"","多摩計","","","","45183429","62.65","606131","0.84","24126890","33.46","2196256","3.05","72112706","5663901","4518","81524","8021001","-700590","57641172"
"","島しょ計","","","","321463","51.48","53908","8.63","141665","22.69","107416","17.20","624452","55987","0","53","14682","-16","553714"
"","組合計","","","","","","","","","","","","178872501","","92006","220333","0","1895869","180456031"
"1","千代田区","料","2方式","10","1857106","82.25","","","400664","17.75","","","2257770","76489","0","2304","971666","-27362","1179949"
"2","中央区","料","2方式","10","2783731","72.93","","","1033442","27.07","","","3817173","214143","0","0","1019931","81662","2664761"
"3","港区","料","2方式","10","10360341","82.99","","","2122988","17.01","","","12483329","442036","31","11495","6222612","-78018","5729137"
"4","新宿区","料","2方式","10","6583011","65.03","","","3539363","34.97","","","10122374","821197","164","7973","1620749","-493960","7178331"
"5","文京区","料","2方式","9","3934056","71","","","1606894","29","","","5540950","304215","151","5288","1175950","-147044","3908302"
"6","台東区","料","2方式","10","3732810","65.22","","","1990744","34.78","","","5723554","438500","353","2403","901287","-74713","4306298"
"7","墨田区","料","2方式","10","3711081","61.26","","","2347033","38.74","","","6058114","553506","0","1660","659494","-107738","4735716"
"8","江東区","料","2方式","10","6647437","61.98","","","4077729","38.02","","","10725166","926582","1196","112356","1223234","-49128","8412670"
"9","品川区","料","2方式","10","6217420","67.02","","","3060119","32.98","","","9277539","652012","10","11323","1492983","-114588","7006623"
"10","目黒区","料","2方式","10","6876231","74.63","","","2337608","25.37","","","9213839","434605","0","9253","2392919","-432705","5944357"
"11","大田区","料","2方式","10","11063723","65.90","","","5724083","34.10","","","16787806","1169838","616","16828","2669744","-145249","12785531"
"12","世田谷区","料","2方式","9","18973012","72.10","","","7341893","27.90","","","26314905","1387449","322","60376","6466138","-247903","18152717"
"13","渋谷区","料","2方式","10","7750166","78.41","","","2134073","21.59","","","9884239","435090","340","7591","3482661","-206111","5752446"
"14","中野区","料","2方式","10","5861633","65.71","","","3058221","34.29","","","8919854","668705","724","4874","1504903","-70358","6670290"
"15","杉並区","料","2方式","10","10471010","68.70","","","4770815","31.30","","","15241825","927433","504","24372","2689280","-474273","11125963"
"16","豊島区","料","2方式","10","5433870","65.07","","","2916722","34.93","","","8350592","684814","180","2780","1450850","-144421","6067547"
"17","北区","料","2方式","10","4383254","58.18","","","3151208","41.82","","","7534462","771184","255","4960","736082","185046","6207027"
"18","荒川区","料","2方式","10","3092078","59.36","","","2117157","40.64","","","5209235","490418","0","0","483662","-73479","4161676"
"19","板橋区","料","2方式","10","8016919","61.88","","","4938484","38.12","","","12955403","1105777","3","11687","1476798","-288914","10072224"
"20","練馬区","料","2方式","10","11612483","65.78","","","6040166","34.22","","","17652649","1258148","1290","23124","3083602","-273563","13012922"
"21","足立区","料","2方式","10","9995886","59.65","","","6761965","40.35","","","16757851","1525232","880","13252","1819388","-137443","13261656"
"22","葛飾区","料","2方式","10","6329390","59.96","","","4226313","40.04","","","10555703","956505","73","4087","1126412","-163673","8304953"
"23","江戸川区","料","2方式","10","9483325","61.01","","","6060981","38.99","","","15544306","1344888","232","8494","1943120","-346970","11900602"
