"","とても思う（＝孤独を感じない）(％)","思う(％)","あまり思わない(％)","思わない（＝孤独を感じる）(％)","無回答(％)"
"困窮層","27.8","29.4","24.7","15.2","3.0"
"周辺層","28.7","34.2","20.2","13.9","3.0"
"一般層","38.3","29.4","19.0","11.2","2.1"
