"上段：度数／下段：%","n=","保育実技","救命救急","安全管理","衛生管理","発達心理学","保育所保育指針","食に関する指導","特別な支援を必要とする子供への接し方","幼稚園教諭免許取得のための学習","地域の子育て支援","保護者との対応の仕方","同僚とのコミュニケーション","パソコン操作","その他","特に欲しいと思うことはない","無回答"
"ＴＯＴＡＬ","6609","2558","2923","2090","1619","1918","950","1785","2971","427","1336","2450","793","1092","73","270","1171"
"ＴＯＴＡＬ","100","38.7","44.2","31.6","24.5","29.0","14.4","27.0","45.0","6.5","20.2","37.1","12.0","16.5","1.1","4.1","17.7"
"性別・年代／女性計","6062","2367","2717","1917","1493","1762","870","1664","2778","386","1213","2253","713","1016","69","241","1026"
"性別・年代／女性計","100","39.0","44.8","31.6","24.6","29.1","14.4","27.4","45.8","6.4","20.0","37.2","11.8","16.8","1.1","4.0","16.9"
"性別・年代／女性２０代","2249","961","922","631","519","675","295","667","1071","99","444","987","372","335","18","106","362"
"性別・年代／女性２０代","100","42.7","41.0","28.1","23.1","30.0","13.1","29.7","47.6","4.4","19.7","43.9","16.5","14.9","0.8","4.7","16.1"
"性別・年代／女性３０代","1917","769","951","642","495","547","290","534","874","167","405","691","175","344","28","62","273"
"性別・年代／女性３０代","100","40.1","49.6","33.5","25.8","28.5","15.1","27.9","45.6","8.7","21.1","36.0","9.1","17.9","1.5","3.2","14.2"
"性別・年代／女性４０代","1207","449","588","436","325","394","193","328","588","106","233","420","105","212","18","52","193"
"性別・年代／女性４０代","100","37.2","48.7","36.1","26.9","32.6","16.0","27.2","48.7","8.8","19.3","34.8","8.7","17.6","1.5","4.3","16.0"
"性別・年代／女性５０代以上","640","168","232","190","142","134","86","121","223","12","122","135","55","113","5","19","189"
"性別・年代／女性５０代以上","100","26.3","36.3","29.7","22.2","20.9","13.4","18.9","34.8","1.9","19.1","21.1","8.6","17.7","0.8","3.0","29.5"
"性別・年代／男性計","294","116","98","90","63","78","47","68","101","31","78","116","50","37","1","23","73"
"性別・年代／男性計","100","39.5","33.3","30.6","21.4","26.5","16.0","23.1","34.4","10.5","26.5","39.5","17.0","12.6","0.3","7.8","24.8"
"性別・年代／男性２０代","172","60","46","47","32","39","25","34","46","9","41","63","29","25","1","15","50"
"性別・年代／男性２０代","100","34.9","26.7","27.3","18.6","22.7","14.5","19.8","26.7","5.2","23.8","36.6","16.9","14.5","0.6","8.7","29.1"
"性別・年代／男性３０代以上","121","56","51","42","31","38","22","33","55","22","37","53","21","12","0","8","23"
"性別・年代／男性３０代以上","100","46.3","42.1","34.7","25.6","31.4","18.2","27.3","45.5","18.2","30.6","43.8","17.4","9.9","0.0","6.6","19.0"
"性別・年代／無回答","253","75","108","83","63","78","33","53","92","10","45","81","30","39","3","6","72"
"性別・年代／無回答","100","29.6","42.7","32.8","24.9","30.8","13.0","20.9","36.4","4.0","17.8","32.0","11.9","15.4","1.2","2.4","28.5"
