"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析"
"<0.75秒量>／8年","2.04","0.38","1.99","0.35","1.98","0.40","2.06","0.38","2.06","0.42","2.01","0.35","2.03","0.39",""
"<0.75秒量>／9年","2.03","0.38","1.97","0.38","2.02","0.41","2.05","0.37","2.07","0.39","2.03","0.35","2.02","0.37",""
"<0.75秒量>／10年","2.04","0.37","1.98","0.39","2.04","0.35","2.02","0.36","2.04","0.36","2.00","0.33","2.02","0.37",""
"<0.75秒量>／11年","1.99","0.37","2.00","0.37","2.03","0.39","2.05","0.38","2.04","0.39","2.04","0.36","2.03","0.38",""
"<0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.004"
"<0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.981"
"<0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.869"
"<0.75秒率>／8年","79.9","7.25","80.9","5.69","79.9","6.38","80.4","5.99","79.1","6.72","80.6","6.19","80.0","6.17",""
"<0.75秒率>／9年","80.0","6.73","80.3","5.68","80.5","6.27","80.5","6.66","80.2","5.92","80.8","6.12","80.3","6.23",""
"<0.75秒率>／10年","80.1","6.48","80.2","6.34","81.0","6.07","80.0","6.79","80.3","6.02","80.8","5.75","80.0","5.91",""
"<0.75秒率>／11年","81.2","6.75","80.5","6.29","80.5","6.12","80.9","6.03","79.9","6.74","80.5","6.18","80.3","6.41",""
"<0.75秒率>／分散分析／地区","","","","","","","","","","","","","","","0.131"
"<0.75秒率>／分散分析／年度","","","","","","","","","","","","","","","0.292"
"<0.75秒率>／分散分析／地区×年度","","","","","","","","","","","","","","","0.585"
"<V25>／7年","1.47","0.49","1.48","0.47","1.47","0.49","1.44","0.44","1.42","0.43","1.41","0.41","1.37","0.44",""
"<V25>／8年","1.46","0.53","1.43","0.46","1.39","0.48","1.44","0.47","1.41","0.45","1.44","0.47","1.41","0.46",""
"<V25>／9年","1.41","0.47","1.38","0.44","1.42","0.53","1.44","0.47","1.43","0.46","1.45","0.46","1.39","0.45",""
"<V25>／10年","1.42","0.42","1.39","0.49","1.45","0.46","1.43","0.47","1.42","0.45","1.42","0.45","1.38","0.45",""
"<V25>／11年","1.45","0.46","1.41","0.45","1.45","0.50","1.45","0.44","1.43","0.47","1.44","0.45","1.41","0.46",""
"<V25>／分散分析／地区","","","","","","","","","","","","","","","0.091"
"<V25>／分散分析／年度","","","","","","","","","","","","","","","0.656"
"<V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.947"
