"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","28.4","7.2","51.8","9.4","1.5","1.6"
"周辺層","39.2","11.3","43.8","5.1","0.3","0.3"
"一般層","43.5","12.0","38.4","5.1","0.7","0.3"
