"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"18～20歳未満","25","20.8","10","19.2","15","22.1"
"20～25歳未満","37","30.8","15","28.8","22","32.4"
"25～30歳未満","24","20.0","10","19.2","14","20.6"
"30～40歳未満","28","23.3","15","28.8","13","19.1"
"40～55歳","6","5.0","2","3.8","4","5.9"
"合計","120","100.0","52","100.0","68","100.0"
