"","0時台","1時台","2時台","3時台","4時台","5時台","6時台","7時台","8時台","9時台","10時台","11時台","12時台","13時台","14時台","15時台","16時台","17時台","18時台","19時台","20時台","21時台","22時台","23時台"
"0～64歳","11","1","3","2","2","2","0","10","10","23","50","79","84","85","97","94","79","61","63","45","29","22","18","16"
"65歳以上","6","1","2","1","6","5","11","13","22","41","68","80","84","81","62","63","53","39","30","28","19","17","7","8"
