"","人","平均歩行数","標準偏差"
"男／総数","150","7838","4391"
"男／20～29歳","15","9998","6525"
"男／30～39歳","16","7086","4392"
"男／40～49歳","23","7721","3337"
"男／50～59歳","27","8354","4004"
"男／60～69歳","30","8454","4110"
"男／70歳以上","39","6555","4211"
"男／(再掲)20～64歳","93","8254","4262"
"男／(再掲)65～74歳","35","8453","4615"
"男／(再掲)75歳以上","22","5104","3676"
"女／総数","172","7364","3651"
"女／20～29歳","9","8982","2652"
"女／30～39歳","13","7821","3664"
"女／40～49歳","46","8370","3526"
"女／50～59歳","30","8210","3407"
"女／60～69歳","36","7209","3333"
"女／70歳以上","38","5085","3620"
"女／(再掲)20～64歳","115","7965","3400"
"女／(再掲)65～74歳","34","7163","3523"
"女／(再掲)75歳以上","23","4656","3936"
