"","16年(%)","20年(%)"
"20歳未満","0.6","0.3"
"20～24歳","6.0","11.1"
"25～29歳","15.1","16.0"
"30～34歳","28.3","25.4"
"35～39歳","23.5","23.8"
"40～44歳","15.7","14.5"
"45～49歳","7.2","7.0"
"50歳以上","3.5","1.8"
