"","総数／総数","男性／総数","女性／総数","男性／20-29歳","女性／20-29歳","男性／30-39歳","女性／30-39歳","男性／40-49歳","女性／40-49歳","男性／50-59歳","女性／50-59歳","男性／60-69歳","女性／60-69歳","男性／70歳以上","女性／70歳以上"
"人数(人)","356","164","192","16","12","20","14","22","46","29","30","31","41","46","49"
"生果(g/日)","95.4","79.5","108.9","31.2","78.7","46.5","71.8","55.2","75.1","36.0","105.7","116.1","146.6","125.2","129.1"
"ジャム(g/日)","1.6","1.2","1.9","0.0","0.0","0.0","0.0","0.0","1.2","1.1","1","1.2","1.8","2.7","4.3"
"果汁(g/日)","8.8","4.0","13.0","0.3","28.6","12.5","22.5","0.5","14.2","0.0","17.1","7.6","8.5","3.4","6.6"
"生果／ジャム／果汁(g/日)","105.8","84.7","123.8","31.4","107.3","59","94.3","55.7","90.4","37.1","123.8","124.8","156.9","131.3","140"
