"","15-18歳／低所得(％)","15-18歳／非低所得(％)","19-23歳／低所得(％)","19-23歳／非低所得(％)"
"家の中で勉強ができる場所","11.7","3.5","8.9","3.7"
"インターネットにつながるパソコン","30.8","14.8","16.4","11.2"
