"","延回数/総数(回)","延回数/母子家庭(回)","延回数/父子家庭(回)","利用実世帯数/総数(世帯)","利用実世帯数/母子家庭(世帯)","利用実世帯数/父子家庭(世帯)","平均回数/総数(回)","平均回数/母子家庭(回)","平均回数/父子家庭(回)"
"H16","54954","45113","9841","1794","1560","234","30.6","28.9","42.1"
"H17","54174","44821","9353","1526","1323","203","35.5","33.9","46.1"
"H18","60750","50497","10253","1326","1176","150","45.8","42.9","68.4"
"H19","54707","45396","9311","1249","1117","132","43.8","40.6","70.5"
"H20","22588","19211","3377","906","846","60","24.9","22.7","56.3"
