"","全国(%)","東京都(%)"
"15～19歳","17.3","18.4"
"20～24歳","67.1","63.4"
"25～29歳","68.7","72.3"
"30～34歳","56.8","61.0"
"35～39歳","61.1","59.0"
"40～44歳","69.4","64.3"
"45～49歳","71.5","68.4"
"50～54歳","67.0","66.8"
"55～59歳","58.3","60.2"
"60～64歳","39.5","45.1"
"65～69歳","25.8","27.0"
