"全国／年","全国／総数(千人)","全国／男性(千人)","全国／女性(千人)","全国／0～14歳(千人)","全国／15～64(千人)","全国／65歳以上(千人)","全国／不詳(千人)"
"平成22年","1641","791","850","446","682","516",""
"平成19年","1554","768","786","437","603","509","4"
"平成16年","1618","817","801","472","645","502","0"
"平成13年","1514","763","750","425","642","446","0"
"平成10年","1289","678","611","386","536","366","1"
