"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","0.2","2.2","14.8","81.9","0.8"
"19","0.8","2.7","17.2","78.6","0.7"
"14","0.9","3.8","17.5","75.6","2.2"
"9","0.4","4.9","23.9","70.3","0.5"
