"","男性／総数(64)","男性／20-29歳(4)","男性／30-39歳(12)","男性／40-49歳(11)","男性／50-59歳(12)","男性／60-69歳(11)","男性／70歳以上(14)","女性／総数(18)","女性／20-29歳(3)","女性／30-39歳(1)","女性／40-49歳(4)","女性／50-59歳(5)","女性／60-69歳(5)","女性／70歳以上(0)"
"ある(%)","70.3","100.0","58.3","100.0","66.7","63.6","57.1","55.6","100.0","100.0","50.0","60.0","20.0","0.0"
"ない(%)","7.8","0.0","16.7","0.0","8.3","0.0","14.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"わからない(%)","21.9","0.0","25.0","0.0","25.0","36.4","28.6","44.4","0.0","0.0","50.0","40.0","80.0","0.0"
