"","1つ(%)","2つ(%)","3つ(%)","4つ(%)","5つ(%)","無回答(%)"
"全体","12.9","31.6","26.0","12.9","9.2","7.3"
"男","21.3","40.1","19.3","4.8","6.3","8.2"
"女","9.4","26.8","29.4","17.0","10.7","6.8"
