"","平成7年／n","平成7年／Mean","平成7年／SD","平成8年／n","平成8年／Mean","平成8年／SD","平成9年／n","平成9年／Mean","平成9年／SD","平成10年／n","平成10年／Mean","平成10年／SD"
"1群","83","80.1","1.0","75","77.5","1.1","76","78.4","1.0","76","79.0","1.1"
"2群","230","79.5","0.6","196","78.9","0.7","192","79.2","0.6","200","78.2","0.7"
"3群","147","79.5","0.8","108","78.3","0.9","112","78.0","0.8","128","77.6","0.9"
