"","センター数","割合(%)"
"10分～20分","7","2.4"
"30分","21","7.2"
"40分～50分","14","4.8"
"50分～60分","161","54.9"
"70分","4","1.4"
"90分","34","11.6"
"120分","7","2.4"
"無回答","45","15.4"
