"","ほぼ毎日3食(％)","ほぼ毎日2食(％)","ほぼ毎日1食(％)","無回答(％)"
"15-18歳男性","84.0","12.1","1.3","2.5"
"15-18歳女性","85.0","14.0","","1.0"
"19-23歳男性","59.5","34.9","2.1","3.5"
"19-23歳女性","69.0","26.9","2.7","1.3"
"全体","71.1","24.9","1.8","2.2"
