"","平成12年(千人)","平成17年(千人)","平成22年(千人)","平成27年(千人)","平成32年(千人)","平成37年(千人)","平成42年(千人)"
"全国","126926","127768","127176","125430","122735","119270","115224"
"東京都","12064","12577","12906","13059","13104","13047","12905"
