"","待機児童数（全体）(人)","待機児童数（ひとり親）(人)","待機児童のうちひとり親家庭の子供の割合(％)"
"H16","5223","440","8.4"
"H17","5221","428","8.2"
"H18","4908","394","8.0"
"H19","4601","344","7.5"
"H20","5479","436","8.0"
"H21","7939","570","7.2"
"H21／(内訳)就労中(常勤）","","125","21.9"
"H21／(内訳)就労中(非常勤）","","98","17.2"
"H21／(内訳)求職中","","298","52.3"
"H21／(内訳)その他","","49","8.6"
