"","受動喫煙防止対策が十分でないと思う施設(%)"
"飲食店","80.3"
"ゲームセンター・パチンコ店等娯楽施設","70.0"
"公共交通機関","36.2"
"ホテル・旅館","36.2"
"公民館など集会場","19.2"
"劇場・映画館","17.1"
"スーパー・小売店","16.1"
"展示場","14.4"
"体育館、屋外競技場などスポーツ施設","14.2"
"官公庁施設","12.1"
"百貨店","10.8"
"学校","9.7"
"金融機関","9.3"
"医療機関","8.0"
"老人ホームなど社会福祉施設","5.7"
"博物館・美術館","4.7"
"その他","12.5"
