"","性別・年代","性別・年代／n","1／「保育士就職支援研修・相談会」を知っている(%)","2／「就職支援セミナー」を知っている(%)","3／いずれも知らなかった(%)","4／無回答(%)"
"0","TOTAL","15369","11.2","19.4","72.4","3.7"
"1","女性計","14059","11.1","19.2","72.7","3.5"
"2","女性２０代","5708","6.9","17.4","76.5","3.1"
"3","女性３０代","3634","9.9","17.0","75.9","3.2"
"4","女性４０代","2861","18.4","23.3","66.2","3.1"
"5","女性５０代以上","1751","15.5","23.2","64.6","5.8"
"6","男性計","701","10.8","21.5","70.3","4.9"
"7","男性２０代","473","9.1","21.1","71.2","4.7"
"8","男性３０代以上","226","14.6","22.6","68.1","5.3"
"1","現在保育士就業中","8214","12.1","20.2","72.6","2.3"
"2","過去保育士就業経験有","2871","11.0","19.3","70.6","5.5"
"3","保育士就業経験無","3969","9.4","17.9","73.7","4.8"
