"","平成2年(1990)","平成7年(1995)","平成12年(2000)","平成17年(2005)"
"核家族世帯(万世帯)","259","267","280","293"
"単独世帯(万世帯)","169","189","219","244"
"その他世帯(万世帯)","","","",""
"核家族世帯(割合)(%)","","","","51.0"
"単独世帯(割合)(%)","","","","42.5"
"核家族世帯／単独世帯(割合)(%)","91","92","93","94"
"その他世帯(割合)(%)","","","",""
