"","平成24年(人)","平成25年(人)","平成26年(人)","平成27年(人)","平成28年(人)",
"登録者数","14336","17566","19239","21106","22588",
"登録者数/身体","2092","2328","2480","2525","2614",
"登録者数/知的","7941","9354","10100","10925","11696",
"登録者数/精神","4554","5469","6379","7306","8027",
"登録者数/その他","1763","873","900","1108","984",
"就職者数","1630","1745","1759","1858","1913",
"就職者数身体","162","175","171","176","158",
"就職者数知的","804","817","764","788","867",
"就職者数精神","646","779","842","914","933",
"就職者数その他","18","62","55","54","48",
