"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","14.3","5.8","3.2","6.9","7.7","10.6","13.8","17.2","21.1","24.8","32.7"
"1～2歳","4","8.2","4.2","2.9","3.4","4.1","6.1","8.9","11","11.8","12.1","12.3"
"3～5歳","5","8.8","2.2","6.9","6.9","7","7.1","7.7","10.6","11.2","11.4","11.6"
"6～7歳","6","11.7","1.2","9.6","10","10.5","11.7","12","12.4","12.6","12.6","12.6"
"8～9歳","3","17.1","4.1","12.6","13.1","13.7","15.6","18.8","19.5","19.9","20.1","20.2"
"10～11歳","5","17.1","2.6","14.5","14.6","14.8","15.3","16.1","19.3","20","20.3","20.5"
"12～14歳","8","14.5","7.4","5","5.7","6.6","9.4","13.3","19.6","24.5","24.5","24.5"
"15～17歳","6","15","2.9","12.2","12.4","12.6","13.3","14.3","16","18.3","19.2","19.9"
"18～29歳","20","12.4","4.2","7","7.3","7.4","9.5","11.9","15","16.8","18.2","22.6"
"30～49歳","42","13.3","4.7","4.6","7.2","7.8","9.7","13.8","16.2","19.5","20.2","24.7"
"50～69歳","60","15.3","6.6","4.8","6.7","8","11.4","14","17.4","24.1","28.1","33.4"
"70歳以上","46","15.7","6.5","1.4","7.7","8.2","12.6","15.2","18.9","23.3","27","32.2"
"女性総数","228","14.1","7","2.3","6.2","7.4","9.6","12.7","17.3","21.3","25.6","33.9"
"1～2歳","3","8.1","3","6.3","6.3","6.3","6.3","6.4","9","10.5","11","11.4"
"3～5歳","2","13.9","6.8","9.3","9.6","10.1","11.6","13.9","16.3","17.8","18.2","18.6"
"6～7歳","6","10.9","4.9","6.7","6.8","6.9","7.5","9.3","12.5","16.5","18.1","19.4"
"8～9歳","4","11.1","2.8","7.8","8.1","8.4","9.5","11.2","12.8","13.7","14","14.2"
"10～11歳","1","13.1","0","13.1","13.1","13.1","13.1","13.1","13.1","13.1","13.1","13.1"
"12～14歳","8","14.4","3.1","9.8","10.6","11.6","12.5","14","16.8","17.8","18.4","18.9"
"15～17歳","7","12.3","3.5","7.4","8","8.7","10.2","11.7","14.6","16.1","16.7","17.3"
"18～29歳","17","13.1","5.9","7.1","8.3","9","9.3","11.2","12.8","20.4","22.7","29.3"
"30～49歳","60","12.7","4.8","4.2","6.2","7.6","9.2","11.9","15.1","20","21.2","23.2"
"50～69歳","71","15.4","7.8","2.5","5.5","7.9","10.6","14","18.9","25.1","29.8","38.3"
"70歳以上","49","15.6","9","1.7","5.9","6.4","10.6","14.9","18.2","24","26.9","44.6"
"(再掲)妊婦","1","15.7","0","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.7"
"授乳婦","1","8.6","0","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6"
