"","65～69歳","70～74歳","75～79歳","80～84歳","85～89歳","90歳以上","不明","合計"
"人数","199","339","495","639","516","281","4","2473"
"構成割合(％)","8.0","13.7","20.0","25.8","20.9","11.4","0.2",""
