"","納得した(%)","納得できなかった(%)","どちらともいえない(%)","理解できる年齢ではなかった(%)"
"全体(77)","32.5","6.5","24.7","36.4"
"男性(33)","21.2","9.1","24.2","45.5"
"女性(44)","40.9","4.5","25.0","29.5"
"0～6歳(35)","8.6","2.9","17.1","71.4"
"7～9歳(13)","53.8","7.7","23.1","15.4"
"10～12歳(15)","46.7","6.7","46.7",""
"13～18歳(12)","66.7","8.3","25.0",""
