"","公営住宅(%)","公社・公団(%)","借家(%)","民間アパート・マンション(%)","間借り(%)","社宅等(%)"
"母子世帯(382)","11.9","6.4","5.2","35.1","3.9","1.7"
"父子世帯(46)","9.0","5.1","6.4","32.1","3.8","2.6"
