"（単位：ppb）","中央区","大田区","渋谷区","板橋区","足立区","八王子市","立川市","青梅市","町田市","田無市"
"【0m】／昭和62年度","44.9","50.4","52.0","","","","","28.7","32.4","36.0"
"【0m】／昭和63年度","46.2","42.3","44.4","32.9","","30.1","30.7","27.4","37.1","36.6"
"【0m】／平成元年度","45.2","44.8","44.8","40.9","","31.9","25.6","23.6","36.2","38.9"
"【0m】／平成2年度","49.0","50.9","49.2","48.3","","33.6","38.1","23.2","35.1","40.2"
"【0m】／平成3年度","46.3","48.0","49.7","47.1","","33.6","39.2","24.5","34.7","41.6"
"【0m】／平成4年度","40.3","","43.6","41.4","45.0","30.2","35.6","20.6","31.8",""
"【0m】／平成5年度","44.2","45.3","46.6","43.6","47.5","31.6","33.6","23.8","33.3","40.4"
"【0m】／平成6年度","52.6","47.4","55.6","51.5","48.9","34.0","36.5","26.8","34.1","37.9"
"【0m】／平成7年度","48.4","50.6","46.5","47.5","47.3","30.7","32.9","23.6","30.4","34.2"
"【0m】／平成8年度","48.1","46.3","48.6","45.5","50.6","33.8","36.1","23.8","33.8","36.6"
"【0m】／平成9年度","45.6","42.3","42.8","42.9","45.9","31.3","31.1","25.1","33.6","33.1"
"【0m】／平成10年度","50.0","50.1","47.4","50.0","53.4","34.1","34.8","23.0","37.6","39.4"
"【0m】／回帰係数","0.36","-0.32","-0.30","0.11","0.85","0.03","-0.61","0.12","0.13","-0.67"
"【20m】／昭和62年度","30.3","41.8","43.4","","","","","26.3","32.6","28.9"
"【20m】／昭和63年度","39.6","42.5","38.4","31.4","","31.9","31.4","28.1","34.9","31.5"
"【20m】／平成元年度","32.5","41.4","39.7","33.5","","31.4","32.9","29.7","33.7","33.1"
"【20m】／平成2年度","43.6","43.4","37.3","40.9","","29.5","31.0","19.4","31.3","33.0"
"【20m】／平成3年度","39.4","44.1","38.0","41.1","","29.3","32.3","20.7","","33.5"
"【20m】／平成4年度","33.1","38.2","34.0","35.3","33.6","27.9","30.2","18.4","29.2","31.6"
"【20m】／平成5年度","38.1","41.1","35.9","37.7","35.4","30.8","30.6","20.3","30.8","31.0"
"【20m】／平成6年度","40.3","44.4","38.8","44.6","38.1","32.3","30.3","20.7","31.0","33.8"
"【20m】／平成7年度","38.5","38.3","41.2","42.6","37.2","28.8","28.2","19.6","27.5","32.0"
"【20m】／平成8年度","37.8","42.8","39.0","40.5","37.1","30.5","30.7","20.3","31.3","33.8"
"【20m】／平成9年度","40.1","36.3","35.1","39.3","35.7","28.8","26.1","21.7","26.2","29.5"
"【20m】／平成10年度","42.4","40.9","41.3","43.2","39.3","29.4","29.7","18.8","28.9","34.8"
"【20m】／回帰係数","0.12","-0.45","0.38","0.31","0.59","0.03","-0.42","0.06","-0.38","0.01"
"【-0m】／平成4年度","34.6","","43.0","45.7","33.4","32.8","31.9","22.2","29.0","35.4"
"【-0m】／平成5年度","39.1","47.9","46.1","47.0","36.8","34.5","32.3","24.1","30.9","38.0"
"【-0m】／平成6年度","45.8","57.0","52.7","48.5","45.1","35.5","35.9","24.1","31.1","43.1"
"【-0m】／平成7年度","41.7","47.3","52.5","46.6","43.5","33.1","31.6","22.5","28.7","39.8"
"【-0m】／平成8年度","41.1","51.3","47.3","47.4","40.2","35.1","33.6","24.3","31.8","40.3"
"【-0m】／平成9年度","40.4","48.7","44.4","41.1","39.5","32.6","30.4","24.3","31.9","36.6"
"【-0m】／平成10年度","44.5","54.8","51.5","49.4","39.0","33.9","36.0","25.3","31.1","39.6"
"【-0m】／回帰係数","0.99","0.39","0.61","-0.06","0.62","-0.03","0.23","0.34","0.32","0.24"
"【-20m】／平成4年度","34.6","","34.8","39.0","30.2","30.6","27.9","19.4","26.9","22.6"
"【-20m】／平成5年度","38.8","39.3","37.3","39.3","34.0","32.2","29.6","21.1","29.4","26.5"
"【-20m】／平成6年度","44.2","47.5","41.8","42.4","40.3","33.6","31.1","20.6","28.8","27.8"
"【-20m】／平成7年度","40.5","39.3","43.2","41.2","41.1","30.1","27.8","19.3","26.1","26.6"
"【-20m】／平成8年度","40.3","40.8","38.4","41.3","36.4","33.1","31.2","20.1","29.5","26.7"
"【-20m】／平成9年度","38.8","40.3","36.2","34.7","36.9","30.8","27.3","21.8","26.3","24.0"
"【-20m】／平成10年度","42.8","44.9","40.3","42.1","39.0","31.6","28.6","20.8","28.3","25.8"
"【-20m】／回帰係数","0.75","0.24","0.39","-0.04","1.01","0.00","-0.08","0.17","-0.04","0.12"
