"","小学5年生(％)","中学2年生(％)","16-17歳(％)"
"子育てひろば","13.0","17.2",""
"子育て短期支援事業","23.6","28.7",""
"ファミリー・サポート・センター","18.0","22.6",""
"16～17歳の子どもについての相談場所","","","21.8"
"子ども食堂","39.9","41.3","32.0"
"フードバンクによる食料支援","42.3","42.3","32.5"
"居場所事業","10.0","24.6","20.7"
"学校が実施する補講","19.2","18.8","16.9"
"学校以外が実施する学習支援","36.5","38.8","31.3"
