"","食費を倹約(％)","時間がない(％)","食欲がない(％)","子どもの頃からの習慣(％)","その他(％)","無回答(％)"
"ふたり親","3.8","49.1","22.2","13.6","10.9","0.4"
"ひとり親","5.2","44.9","28.9","5.2","12.6","3.2"
"三世代","","45.7","20.5","15.9","8.4","9.5"
"ひとり暮らし","11.8","44.7","28.2","2.2","11.2","1.9"
