"月","1","2","3","4","5","6","7","8","9","10","11","12"
"検案数(人)","1686","1331","1272","1041","949","866","1012","1167","868","931","1070","1232"
"検案のうち65歳以上の数(人)","1259","978","865","720","605","539","690","786","533","645","752","865"
"検案のうち65歳以上の割合(%)","74.7","73.5","68.0","69.2","63.7","62.2","68.2","67.3","61.4","69.3","70.3","70.2"
"解剖数(人)","307","238","243","189","146","150","190","187","156","142","153","213"
