"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","1.2","0.54","0.32","0.51","0.61","0.8","1.11","1.56","1.86","2.12","3.05"
"1～2歳","4","0.76","0.48","0.16","0.22","0.29","0.5","0.88","1.14","1.15","1.15","1.16"
"3～5歳","5","0.59","0.13","0.39","0.42","0.46","0.57","0.63","0.68","0.69","0.69","0.69"
"6～7歳","6","0.92","0.21","0.69","0.69","0.69","0.73","0.94","1.05","1.12","1.16","1.18"
"8～9歳","3","0.99","0.39","0.69","0.7","0.72","0.77","0.86","1.14","1.31","1.37","1.41"
"10～11歳","5","1.06","0.38","0.73","0.73","0.73","0.73","0.92","1.36","1.48","1.51","1.55"
"12～14歳","8","1.11","0.52","0.48","0.51","0.55","0.73","1.08","1.33","1.74","1.87","1.98"
"15～17歳","6","1.22","0.28","0.91","0.92","0.92","0.99","1.23","1.38","1.51","1.56","1.61"
"18～29歳","20","1.25","0.51","0.56","0.59","0.6","0.91","1.24","1.56","1.75","1.94","2.38"
"30～49歳","42","1.11","0.46","0.35","0.5","0.55","0.77","1.06","1.38","1.71","1.87","2.1"
"50～69歳","60","1.36","0.59","0.41","0.63","0.78","0.94","1.22","1.69","1.92","2.18","3.18"
"70歳以上","46","1.23","0.6","0.17","0.52","0.61","0.83","1.15","1.55","1.97","2.14","2.91"
"女性総数","228","1.06","0.45","0.32","0.42","0.52","0.75","1","1.35","1.6","1.83","2.36"
"1～2歳","3","0.63","0.08","0.57","0.57","0.58","0.58","0.6","0.66","0.69","0.7","0.71"
"3～5歳","2","0.95","0.27","0.76","0.78","0.8","0.85","0.95","1.05","1.11","1.13","1.14"
"6～7歳","6","0.7","0.17","0.5","0.52","0.54","0.59","0.68","0.79","0.88","0.92","0.95"
"8～9歳","4","0.86","0.31","0.5","0.54","0.59","0.74","0.85","0.98","1.14","1.19","1.23"
"10～11歳","1","0.9","0","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9"
"12～14歳","8","1.08","0.3","0.71","0.75","0.79","0.89","0.96","1.37","1.44","1.48","1.5"
"15～17歳","7","1","0.27","0.65","0.69","0.74","0.83","0.93","1.2","1.35","1.35","1.36"
"18～29歳","17","1.15","0.63","0.43","0.46","0.57","0.75","1.06","1.38","1.64","2.14","2.88"
"30～49歳","60","1","0.37","0.41","0.41","0.57","0.75","0.93","1.19","1.5","1.56","1.98"
"50～69歳","71","1.15","0.46","0.27","0.41","0.57","0.82","1.15","1.45","1.72","1.9","2.32"
"70歳以上","49","1.06","0.52","0.18","0.42","0.49","0.72","1","1.41","1.66","1.82","2.47"
"(再掲)妊婦","1","1.56","0","1.56","1.56","1.56","1.56","1.56","1.56","1.56","1.56","1.56"
"授乳婦","1","1.01","0","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01"
