"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","192","19","25","29","34","35","50","217","18","14","48","33","49","55"
"毎日2回以上(%)","0.5","0.0","4.0","0.0","0.0","0.0","0.0","0.9","5.6","0.0","0.0","0.0","0.0","1.8"
"毎日1回(%)","5.2","0.0","12.0","3.4","17.6","0.0","0.0","2.8","0.0","7.1","4.2","3.0","2.0","1.8"
"週4～6回(%)","15.1","26.3","28.0","13.8","17.6","17.1","2.0","3.2","11.1","7.1","2.1","3.0","2.0","1.8"
"週2～3回(%)","20.8","42.1","12.0","17.2","26.5","14.3","20.0","11.1","11.1","0.0","18.8","18.2","10.2","3.6"
"週1回(%)","17.2","21.1","20.0","31.0","8.8","14.3","14.0","21.7","22.2","28.6","35.4","15.2","20.4","12.7"
"合計(%)","58.8","89.5","76.0","65.4","70.5","45.7","36.0","39.7","50.0","42.8","60.5","39.4","34.6","21.7"
