"末子年齢","回答(%)"
"１歳未満","11.1"
"１～５歳","24.1"
"６～１０歳","12.4"
"１１～１５歳","11.8"
"１６～２０歳","8.6"
"２１～２５歳","5.3"
"２６歳以上","5.4"
"無回答","21.2"
